α,U+03B1,TX_alpha,\alpha
β,U+03B2,TX_beta,\beta
γ,U+03B3,TX_gamma,\gamma
δ,U+03B4,TX_delta,\delta
ε,U+03B5,TX_epsilon,\epsilon
ζ,U+03B6,TX_zeta,\zeta
η,U+03B7,TX_eta,\eta
θ,U+03B8,TX_theta,\theta
ϑ,U+03D1,TX_theta_alt,\vartheta
ι,U+03B9,TX_iota,\iota
κ,U+03BA,TX_kappa,\kappa
λ,U+03BB,TX_lambda,\lambda
μ,U+03BC,TX_mu,\mu
ν,U+03BD,TX_nu,\nu
ξ,U+03BE,TX_xi,\xi
ο,U+03BF,TX_omicron,\omicron
π,U+03C0,TX_pi,\pi
ρ,U+03C1,TX_rho,\rho
σ,U+03C3,TX_sigma,\sigma
ς,U+03C2,TX_sigma_alt,\varsigma
τ,U+03C4,TX_tau,\tau
υ,U+03C5,TX_upsilon,\upsilon
φ,U+03C6,TX_phi,\phi
χ,U+03C7,TX_chi,\chi
ψ,U+03C8,TX_psi,\psi
ω,U+03C9,TX_omega,\omega

Α,U+0391,TX_ALPHA,\Alpha
Β,U+0392,TX_BETA,\Beta
Γ,U+0393,TX_GAMMA,\Gamma
Δ,U+0394,TX_DELTA,\Delta
Ε,U+0395,TX_EPSILON,\Epsilon
Ζ,U+0396,TX_ZETA,\Zeta
Η,U+0397,TX_ETA,\Eta
Θ,U+0398,TX_THETA,\Theta
Ι,U+0399,TX_IOTA,\Iota
Κ,U+039A,TX_KAPPA,\Kappa
Λ,U+039B,TX_LAMBDA,\Lambda
Μ,U+039C,TX_MU,\Mu
Ν,U+039D,TX_NU,\Nu
Ξ,U+039E,TX_XI,\Xi
Ο,U+039F,TX_OMICRON,\Omicron
Π,U+03A0,TX_PI,\Pi
Ρ,U+03A1,TX_RHO,\Rho
Σ,U+03A3,TX_SIGMA,\Sigma
Τ,U+03A4,TX_TAU,\Tau
Υ,U+03A5,TX_UPSILON,\Upsilon
Φ,U+03A6,TX_PHI,\Phi
Χ,U+03A7,TX_CHI,\Chi
Ψ,U+03A8,TX_PSI,\Psi
Ω,U+03A9,TX_OMEGA,\Omega

æ,U+00E6,TX_ae,{\ae}
ß,U+00DF,TX_SS,{\ss}
ø,U+00F8,TX_oDK,{\o}
ℏ,U+210F,TX_hbar,\hbar

⌀,U+2300,TX_DIAM,{\diameter}
∈,U+2208,TX_ElOf,\in
∝,U+221D,TX_PROP,\propto
____,____,TX_BIN,
____,____,TX_SUB,
____,____,TX_SUP,
°,U+00B0,TX_DEG,^\circ

____,____,TX_FRAC,
√,U+221A,TX_SQRT,\sqrt{}
×,U+00D7,TX_TIMES,\times
